title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 أثينة السوداء, الجذور الافروىسيوية للحضارة الكلاسيكية	 مارتن برنال		 المشروع (المركز) القومي للترجمة، القاهرة		 2000م	 الأولى 	 1 	 765 	https://www.lisanarb.com/2023/12/pdf_587.html	https://archive.org/download/lis_sa37/lisanarb.com_sa3728.pdf https://archive.org/download/NCT01/NCT0016A.pdf https://archive.org/stream/lis_sa37/lisanarb.com_sa3728#mode/2up 
 وبل الغمام على شفاء الأوام (مفهرس)	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني	 محمد صبحى حسن الحلاق		 القاهرة و جدة	 1416هـ	 الأولى 	 1 	 1206 	https://www.lisanarb.com/2023/12/pdf_691.html	https://archive.org/download/lis_q22/lisanarb.com_q2201.pdf https://archive.org/download/lis_q22/lisanarb.com_q2202.pdf https://archive.org/stream/lis_q22/lisanarb.com_q2201#mode/2up https://archive.org/stream/lis_q22/lisanarb.com_q2202#mode/2up 
 كتاب الجهاد والسير	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني					 الأولى 	 1 	 170 	https://www.lisanarb.com/2023/12/pdf_733.html	https://archive.org/download/lis_q22/lisanarb.com_q2214.pdf https://archive.org/stream/lis_q22/lisanarb.com_q2214#mode/2up 
 تحفة الذاكرين بعدة الحصن الحصين من كلام سيد المرسلين (مفهرس)	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني			 بيروت	 1408هـ ، 1988م	 الأولى 	 1 	 399 	https://www.lisanarb.com/2023/12/pdf_692.html	https://archive.org/download/lis_q14/lisanarb.com_q1401.pdf https://archive.org/download/lis_q14/lisanarb.com_q1402.pdf https://archive.org/stream/lis_q14/lisanarb.com_q1401#mode/2up 
 بلوغ المنى في حكم الاستمناء	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني	 أبو عبيدة مشهور بن حسن آل سلمان		 الرياض	 1414هـ ، 1994م	 الأولى 	 1 	 103 	https://www.lisanarb.com/2023/12/pdf_169.html	https://archive.org/download/lis_q22/lisanarb.com_q2213.pdf https://archive.org/stream/lis_q22/lisanarb.com_q2213#mode/2up 
 القول المفيد في أدلة الاجتهاد والتقليد	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني	 أبى مصعب محمد سعيد البدرى		 مصر و لبنان	 1411هـ ، 1991م	 الأولى 	 1 	 128 	https://www.lisanarb.com/2023/12/pdf_456.html	https://archive.org/download/lis_q13/lisanarb.com_q1308.pdf https://archive.org/stream/lis_q13/lisanarb.com_q1308#mode/2up 
 القول المفيد في أدلة الاجتهاد والتقليد (ملون)	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني	 الشيخ محمد منير		 مصر 	 1924م	 الأولى 	 1 	 70 	https://www.lisanarb.com/2023/12/pdf_109.html	
 القول الجلي في حل لبس النساء للحلي ويليه تعزيز القول الجلي	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني	 أبي الحسن علي بن أحمد الرازحي		 صنعاء	 1426هـ ، 2005م	 الأولى 	 1 	 145 	https://www.lisanarb.com/2023/12/pdf_651.html	https://archive.org/download/lis_q13/lisanarb.com_q1301.pdf https://archive.org/stream/lis_q13/lisanarb.com_q1301#mode/2up 
 الصوارم الحداد القاطعة لعلائق أرباب الاتحاد	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني	 محمد صبحى حسن الحلاق		 صنعاء	 1411هـ ، 1990م	 الأولى 	 1 	 85 	https://www.lisanarb.com/2023/12/pdf_517.html	https://archive.org/download/lis_q13/lisanarb.com_q1304.pdf https://archive.org/stream/lis_q13/lisanarb.com_q1304#mode/2up 
 الدواء العاجل في دفع العدو الصائل (مفهرس)	 الشوكاني؛ محمد بن علي بن محمد بن عبد الله الشوكاني			 مصر	 1343هـ	 الأولى 	 1 	 294 	https://www.lisanarb.com/2023/12/pdf_259.html	https://archive.org/download/lis_q12/lisanarb.com_q1210.pdf https://archive.org/stream/lis_q12/lisanarb.com_q1210#mode/2up 
 الإعراب الميسر, في قواعد اللغة العربيّة	 محمد يوسف خضر			 الأردن	 1986م	 الأولى 	 1 	 132 	https://www.lisanarb.com/2023/12/pdf_801.html	https://archive.org/download/lis_n18/lisanarb.com_n1801.pdf https://archive.org/download/lis_na04/lis_na0414.pdf https://archive.org/stream/lis_n18/lisanarb.com_n1801#mode/2up 
 الإعراب الواضح, قواعد ومهارات ونصوص معربة	 د. حمادة عبد الإله حامد		 مكتبة الآداب	 القاهرة	 1433 هـ / 2011 م			 304 	https://www.lisanarb.com/2023/12/pdf_564.html	https://archive.org/download/lis_n26/lisanarb.com_n2604.pdf https://archive.org/download/lis_na05/lis_na0502.pdf https://archive.org/stream/lis_n26/lisanarb.com_n2604#mode/2up 
 الإعراب بالنيـابة دراسة وصفيـة تطبيقية في خمسة الأجزاء الأولى من القرآن الكريم (ماجستير)	 د. جلال أحمد على فضل			 السودان	 2010م	 الأولى 	 1 	 249 	https://www.lisanarb.com/2023/12/pdf_12.html	https://archive.org/download/lis_n26/lisanarb.com_n2606.pdf https://archive.org/stream/lis_n26/lisanarb.com_n2606#mode/2up 
 الإعراب سمة العربيَّة الفصحى, دراسة تتناول وظيفته, وتقويماً لمنابع بيانه, وعلاقته بالأداء	 د. محمد إبراهيم البنا				  1406هـ ، 1986م	 الأولى 	 1 	 74 	https://www.lisanarb.com/2023/12/pdf_664.html	https://archive.org/download/lis_n26/lisanarb.com_n2607.pdf https://archive.org/download/lis_na05/lis_na0504.pdf https://archive.org/download/lis_na05/lis_na0504.pdf https://archive.org/stream/lis_n26/lisanarb.com_n2607#mode/2up 
 الإعراب والبناء, دراسة فى نظرية النحو العربى	 د. جميل علوش			 بيروت	  1417هـ ، 1997م 	 الأولى 	 1 	 254 	https://www.lisanarb.com/2023/12/pdf_409.html	https://archive.org/download/lis_n26/lisanarb.com_n2608.pdf https://archive.org/download/lis_na05/lis_na0505.pdf https://archive.org/stream/lis_n26/lisanarb.com_n2608#mode/2up 
 الإعراب والقواعد	 دار الريحان الحديثة			 فاس - المغرب	  1432هـ , 2011م	 2	 1 	 131 	https://www.lisanarb.com/2023/12/pdf_510.html	https://archive.org/download/lis_n26/lisanarb.com_n2609.pdf https://archive.org/download/lis_na40/lis_na4004.pdf https://archive.org/stream/lis_n26/lisanarb.com_n2609#mode/2up 
 أبو محمد الأموي؛ وآراؤه اللغوية		 د. محمود جاسم الدرويش	 مؤسسة الرسالة و دار البشير	 بيروت - الأردن	 1417هـ ، 1997م	 الأولى 	 1 	 90 	https://www.lisanarb.com/2023/12/pdf_185.html	https://archive.org/download/lis_ar31/lisanarb.com_ar3101.pdf https://archive.org/download/lis_arb64/lis_arb6402.pdf  https://archive.org/stream/lis_ar31/lisanarb.com_ar3101#mode/2up 
 إبدال الحروف في اللهجات العربيَّة	 د. سلمان بن سالم بن رجاء السحيمي			 المدينة المنورة	 1415هـ ، 1995م	 الأولى 	 1 	 712 	https://www.lisanarb.com/2023/12/pdf_291.html	https://archive.org/download/lis_ar30/lisanarb.com_ar3005.pdf https://archive.org/download/lis_arb91/lis_arb9103.pdf https://archive.org/stream/lis_ar30/lisanarb.com_ar3005#mode/2up 
