title	author	url	download_urls
أنوار الفجر في فضائل أهل بدر	 المؤلف: سيد حسين العفاني	https://waqfeya.net/book.php?bid=667	
توالي التأسيس لمعالي محمد بن إدريس	 المؤلف: 	https://waqfeya.net/book.php?bid=603	
نظرات في كتاب الأعلام	ابن حجر العسقلاني؛ أحمد بن علي بن محمد الكناني العسقلاني، أبو الفضل، شهاب الدين، ابن حجر	https://waqfeya.net/book.php?bid=606	
الحافظ الذهبي مؤرخ الإسلام ناقد المحدثين	 المؤلف: أحمد العلاونة	https://waqfeya.net/book.php?bid=354	
معجم الصحابة (ابن قانع)	 المؤلف: عبد الستار الشيخ	https://waqfeya.net/book.php?bid=773	
مناقب الإمام أحمد بن حنبل (ط. ابن خلدون)	 المؤلف: عبد الله بن قانع أبو الحسين	https://waqfeya.net/book.php?bid=991	
معاوية بن أبي سفيان رضي الله عنه، صحابي كبير وملك مجاهد	 المؤلف: 	https://waqfeya.net/book.php?bid=367	
الإمام مالك بن أنس إمام دار الهجرة	ابن الجوزي؛ عبد الرحمن بن علي بن محمد الجوزي القرشي البغدادي، أبو الفرج	https://waqfeya.net/book.php?bid=373	
رواد علم الجغرافيا في الحضارة العربية والإسلامية	 المؤلف: منير محمد الغضبان	https://waqfeya.net/book.php?bid=159	
حول حياة شيخ الإسلام ابن تيمية	 المؤلف: عبد الغني الدقر	https://waqfeya.net/book.php?bid=219	
الإمام النووي شيخ الإسلام والمسلمين وعمدة الفقهاء والمحدثين	 المؤلف: علي بن عبد الله الدفاع	https://waqfeya.net/book.php?bid=379	
مناقب أمير المؤمنين عمر بن الخطاب (ط. ابن خلدون)	 المؤلف: محمد سعيد رسلان	https://waqfeya.net/book.php?bid=992	
دائرة معارف القرن العشرين	 المؤلف: محمد فريد وجدي	https://waqfeya.net/book.php?bid=11	https://archive.org/download/FP12741/dmqe01.pdf https://archive.org/download/FP12741/dmqe02.pdf https://archive.org/download/FP12741/dmqe03.pdf https://archive.org/download/FP12741/dmqe04.pdf https://archive.org/download/FP12741/dmqe05.pdf https://archive.org/download/FP12741/dmqe06.pdf https://archive.org/download/FP12741/dmqe07.pdf https://archive.org/download/FP12741/dmqe08.pdf https://archive.org/download/FP12741/dmqe09.pdf https://archive.org/download/FP12741/dmqe10.pdf https://archive.org/download/FP12741/dmqe00.pdf 
دائرة معارف القرن العشرين	 المؤلف: محمد فريد وجدي	https://waqfeya.net/book.php?bid=11	https://archive.org/download/FP12741/dmqe01.pdf https://archive.org/download/FP12741/dmqe02.pdf https://archive.org/download/FP12741/dmqe03.pdf https://archive.org/download/FP12741/dmqe04.pdf https://archive.org/download/FP12741/dmqe05.pdf https://archive.org/download/FP12741/dmqe06.pdf https://archive.org/download/FP12741/dmqe07.pdf https://archive.org/download/FP12741/dmqe08.pdf https://archive.org/download/FP12741/dmqe09.pdf https://archive.org/download/FP12741/dmqe10.pdf https://archive.org/download/FP12741/dmqe00.pdf 
حكمة الإشراق إلى كتاب الآفاق، وبذيله: تتمة في نقد الآثار...	 المؤلف: مرتضى الزبيدي; محمد بن محمد بن محمد بن عبد الرزاق الحسيني الزبيدي; أبو الفيض; الملقب بمرتضى	https://waqfeya.net/book.php?bid=12922	https://archive.org/download/FP42916/42916.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08dc7502-48ef-408c-8ac0-d02733dba16e https://archive.org/download/ktsadaqltsFP/ktsadaqlts.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08d8d06b-762a-4d2a-8096-a08979aed349 https://archive.org/download/stkhzFP/stkhz.pdf https://archive.org/download/fp148721_202405/148721.pdf 
الكتاب وصفة الدواة والقلم وتصريفها	 المؤلف: البغدادي؛ عبد الله بن عبد العزيز، أبو موسى البغدادي	https://waqfeya.net/book.php?bid=12921	
صناعة تسفير الكتب وحل الذهب	 المؤلف: السفياني، أحمد بن محمد، أبو العباس	https://waqfeya.net/book.php?bid=12920	
المدخل إلى علم الكتاب المخطوط بالحرف العربي	 المؤلف: ديروش، فرنسوا	https://waqfeya.net/book.php?bid=12918	
حكمة الإشراق إلى كتاب الآفاق، وبذيله: تتمة في نقد الآثار...	 المؤلف: مرتضى الزبيدي; محمد بن محمد بن محمد بن عبد الرزاق الحسيني الزبيدي; أبو الفيض; الملقب بمرتضى	https://waqfeya.net/book.php?bid=12922	https://archive.org/download/FP42916/42916.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08dc7502-48ef-408c-8ac0-d02733dba16e https://archive.org/download/ktsadaqltsFP/ktsadaqlts.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08d8d06b-762a-4d2a-8096-a08979aed349 https://archive.org/download/stkhzFP/stkhz.pdf https://archive.org/download/fp148721_202405/148721.pdf 
الكتاب وصفة الدواة والقلم وتصريفها	 المؤلف: البغدادي؛ عبد الله بن عبد العزيز، أبو موسى البغدادي	https://waqfeya.net/book.php?bid=12921	
صناعة تسفير الكتب وحل الذهب	 المؤلف: السفياني، أحمد بن محمد، أبو العباس	https://waqfeya.net/book.php?bid=12920	
المدخل إلى علم الكتاب المخطوط بالحرف العربي	 المؤلف: ديروش، فرنسوا	https://waqfeya.net/book.php?bid=12918	
تقويم البلدان	 المؤلف: أبو الفداء؛ إسماعيل بن علي بن محمود بن محمد ابن عمر بن شاهنشاه بن أيوب	https://waqfeya.net/book.php?bid=1028	https://archive.org/download/FP26672/26672.pdf 
تقويم البلدان	 المؤلف: أبو الفداء؛ إسماعيل بن علي بن محمود بن محمد ابن عمر بن شاهنشاه بن أيوب	https://waqfeya.net/book.php?bid=1028	https://archive.org/download/FP26672/26672.pdf 
الخرائط الذهنية لسور القرآن الكريم	 المؤلف: السحيباني، صفية عبد الرحمن	https://waqfeya.net/book.php?bid=12928	https://archive.org/download/quran-mind-maps/quran-mind-maps.pdf 
رقائق القرآن	 المؤلف: إبراهيم بن عمر الشكران	https://waqfeya.net/book.php?bid=12927	
الخرائط الذهنية لسور القرآن الكريم	 المؤلف: السحيباني، صفية عبد الرحمن	https://waqfeya.net/book.php?bid=12928	https://archive.org/download/quran-mind-maps/quran-mind-maps.pdf 
رقائق القرآن	 المؤلف: إبراهيم بن عمر الشكران	https://waqfeya.net/book.php?bid=12927	
فتح الباري بشرح صحيح البخاري (ط. طيبة)	 المؤلف: 	https://waqfeya.net/book.php?bid=53	https://archive.org/download/FP66784/fbssb01.pdf https://archive.org/download/FP66784/fbssb02.pdf https://archive.org/download/FP66784/fbssb03.pdf https://archive.org/download/FP66784/fbssb04.pdf https://archive.org/download/FP66784/fbssb05.pdf https://archive.org/download/FP66784/fbssb06.pdf https://archive.org/download/FP66784/fbssb07.pdf https://archive.org/download/FP66784/fbssb08.pdf https://archive.org/download/FP66784/fbssb09.pdf https://archive.org/download/FP66784/fbssb10.pdf https://archive.org/download/FP66784/fbssb11.pdf https://archive.org/download/FP66784/fbssb12.pdf https://archive.org/download/FP66784/fbssb13.pdf https://archive.org/download/FP66784/fbssb14.pdf https://archive.org/download/FP66784/fbssb15.pdf https://archive.org/download/FP66784/fbssb16.pdf https://archive.org/download/FP66784/fbssb17.pdf https://archive.org/download/FP66784/fbssb00.pdf https://archive.org/download/FP66784/hdsa.pdf https://archive.org/download/FP66784/hdsap.pdf https://archive.org/compress/FP66784/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP66784.zip https://app.alreq.com/ar/authoredbooks/authoredbook/000f6e71-e2cc-4b23-3e58-08d79e7d2715 https://archive.org/download/FP84101/01_84101.pdf https://archive.org/download/FP84101/02_84102.pdf https://archive.org/download/FP84101/03_84103.pdf https://archive.org/download/FP84101/04_84104.pdf https://archive.org/download/FP84101/05_84105.pdf https://archive.org/download/FP84101/06_84106.pdf https://archive.org/download/FP84101/07_84107.pdf https://archive.org/download/FP84101/00_84101.pdf https://archive.org/compress/FP84101/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP84101.zip 
المفهم لما أشكل من كتاب تلخيص مسلم	ابن حجر العسقلاني؛ أحمد بن علي بن محمد الكناني العسقلاني، أبو الفضل، شهاب الدين، ابن حجر	https://waqfeya.net/book.php?bid=869	
دليل الفالحين لطرق رياض الصالحين	 المؤلف: محمد بن علان الصديقي	https://waqfeya.net/book.php?bid=5143	http://www.archive.org/download/waq64257/01_64257.pdf http://www.archive.org/download/waq64257/02_64258.pdf http://www.archive.org/download/waq64257/03_64259.pdf http://www.archive.org/download/waq64257/04_64260.pdf http://www.archive.org/download/waq64257/05_40815.pdf http://www.archive.org/download/waq64257/06_40816.pdf http://www.archive.org/download/waq64257/07_40817.pdf http://www.archive.org/download/waq64257/08_40818.pdf http://www.archive.org/download/waq64257/01_64257p.pdf http://www.archive.org/download/waq64257/00_64257.pdf http://ia700200.us.archive.org/9/items/waq64257 http://www.shamela.ws/old_site/books/008/0830.rar 
المخترع في فنون من الصنع	 المؤلف: المظفر الرسولي؛ يوسف (المظفر) بن عمر (المنصور نور الدين) بن علي بن رسول التركماني اليمني، شمس الدين	https://waqfeya.net/book.php?bid=12919	https://archive.org/download/mkfnsiFP/mkfnsi.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08d9e347-6d74-4e75-8827-63e352599366 
المخترع في فنون من الصنع	 المؤلف: المظفر الرسولي؛ يوسف (المظفر) بن عمر (المنصور نور الدين) بن علي بن رسول التركماني اليمني، شمس الدين	https://waqfeya.net/book.php?bid=12919	https://archive.org/download/mkfnsiFP/mkfnsi.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08d9e347-6d74-4e75-8827-63e352599366 
التعليق الكبير في المسائل الخلافية بين الأئمة (كتاب الصلاة)	 المؤلف: أبو يعلى؛ محمد بن الحسين بن محمد بن خلف ابن الفراء، أبو يعلى	https://waqfeya.net/book.php?bid=12924	https://archive.org/details/FP65578/01_165578 https://archive.org/details/FP65578/02_165579 https://archive.org/details/FP65578/03_165580 https://archive.org/details/FP65578/04_165581 https://archive.org/details/FP65578/00_165578 https://archive.org/compress/FP65578/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP65578.zip https://app.alreq.com/ar/authoredbooks/authoredbook/08dc7e38-f529-43b6-8c4a-13684139a8b0 
التعليق الكبير في المسائل الخلافية بين الأئمة (كتاب الصلاة)	 المؤلف: أبو يعلى؛ محمد بن الحسين بن محمد بن خلف ابن الفراء، أبو يعلى	https://waqfeya.net/book.php?bid=12924	https://archive.org/details/FP65578/01_165578 https://archive.org/details/FP65578/02_165579 https://archive.org/details/FP65578/03_165580 https://archive.org/details/FP65578/04_165581 https://archive.org/details/FP65578/00_165578 https://archive.org/compress/FP65578/formats=IMAGE%20CONTAINER%20PDF&amp;file=/FP65578.zip https://app.alreq.com/ar/authoredbooks/authoredbook/08dc7e38-f529-43b6-8c4a-13684139a8b0 
الديمقراطية في الميزان	 المؤلف: سعيد عبد العظيم	https://waqfeya.net/book.php?bid=6688	http://www.archive.org/download/waq85970/85970.pdf 
ديوان أبي العتاهية	 المؤلف: أبو العتاهية	https://waqfeya.net/book.php?bid=1395	http://www.archive.org/download/waqdeat/deat.pdf http://www.archive.org/stream/waqdeat/deat http://www.archive.org/download/waq4408/4408.pdf http://www.archive.org/download/waq4408/4408p.pdf http://www.archive.org/download/waq4408/4408m.pdf https://app.alreq.com/ar/authoredbooks/authoredbook/08d7bef7-a4f3-d3c1-b551-9bba135695b4?__cf_chl_rt_tk=kYVcu6vA0XlpuyXBWlD4uqDfhurOvIJ49SeLuLn7EoU-1706478417-0-gaNycGzNETs 
ديوان البحتري	 المؤلف: البحتري؛ الوليد بن عبيد بن يحيى الطائي، أبو عبادة البحتري	https://waqfeya.net/book.php?bid=3309	
أطلس دول العالم الكبير (ملون)	 المؤلف: مكتبة الصغار	https://waqfeya.net/book.php?bid=8198	http://www.waqfeya.com/book.php?bid=1572 
أطلس دول العالم الكبير (ملون)	 المؤلف: مكتبة الصغار	https://waqfeya.net/book.php?bid=8198	http://www.waqfeya.com/book.php?bid=1572 
